Name	Термин	Spec	HW	Github link	YT link
Dron_1	Група 2 - Петак 8:30-11:00			TODO	TODO
Dron_2	Група 3 - Четвртак 9:45-12:25			TODO	TODO
Car	Група 1 - Четвртак 7:00-9:30			TODO	TODO
Garbage_Sort	Група 3 - Четвртак 9:45-12:25		Trake	TODO	TODO
Fishing	Група 2 - Петак 8:30-11:00			TODO	TODO
Flags	Група 3 - Четвртак 9:45-12:25		Jetson shield	TODO	TODO
Oximeter	Група 3 - Четвртак 9:45-12:25		senzori	TODO	TODO
RC_Tank	Група 1 - Четвртак 7:00-9:30	tank chasis + camera	Tenk, RPI camera?	TODO	TODO
Radar	Група 3 - Четвртак 9:45-12:25	TOFs, ultrasound distance	EC	TODO	TODO
Fingerprint_Lock	Група 2 - Петак 8:30-11:00	door(electronic locking)+fingerprint	Vrata	TODO	TODO
Robo_Arm		robot arm + some camera	Jetson shield, Ruka	TODO	TODO
Bosch_1				TODO	TODO
Bosch_2				TODO	TODO
Eurobot				TODO	TODO
